brand,carName,carImg,saleVolume,price,manufacturer,rank,carModel,energyType,marketTime,insure
长安,长安CS75 PLUS,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ca979536da2c4cadb64281d0f33886d0~tplv-resize:640:0.png,21574,"[9.99, 13.49]",长安汽车,20,紧凑型SUV,汽油,2024.09,3年或10万公里
小米汽车,小米SU7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/7a507b6ec14c4ead9c95c336893aa9d2~tplv-resize:640:0.png,20726,"[21.59, 29.99]",小米汽车,21,中大型车,纯电动,2024.03,5年或10万公里
丰田,锋兰达,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/2e716928f981407b80c5e8772b8141a2~tplv-resize:640:0.png,20526,"[9.28, 14.98]",广汽丰田,22,紧凑型SUV,汽油,2024.07,3年或10万公里
比亚迪,元UP,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/eca155ce5f884c349d4d541e5b9e7277~tplv-resize:640:0.png,20216,"[9.68, 11.98]",比亚迪,23,小型SUV,纯电动,2024.03,6年或15万公里
丰田,RAV4荣放,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/fd37b2b3af134b47883f07e044cfb8cf~tplv-resize:640:0.png,20068,"[12.98, 22.38]",一汽丰田,24,紧凑型SUV,汽油,2024.09,3年或10万公里
比亚迪,汉DM,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/8f0fb2e258644f6fb0f1871d84c3b7d7~tplv-resize:640:0.png,19529,"[16.08, 23.98]",比亚迪,25,中大型车,插电式混合动力,2024.09,6年或15万公里
大众,迈腾,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/af209a0bc7a548a89dc86b1062cac9c7~tplv-resize:640:0.png,18890,"[12.99, 22.69]",一汽-大众,26,中型车,汽油,2024.10,3年或10万公里
丰田,凯美瑞,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f03dc47b2bf642968efaed9fc4afb46e~tplv-resize:640:0.png,18647,"[14.48, 23.28]",广汽丰田,27,中型车,汽油,2024.03,3年或10万公里
本田,本田CR-V,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/bc20bec323e9460e862ac2b30b0f9991~tplv-resize:640:0.png,18499,"[13.59, 21.39]",东风本田,28,紧凑型SUV,油电混合,2024.04,3年或10万公里
大众,探岳,https://p3-dcd.byteimg.com/img/motor-mis-img/fa07dcebd6da68142bf78b8afc536956~tplv-resize:640:0.png,18494,"[14.39, 19.89]",一汽-大众,29,中型SUV,汽油,2023.10,3年或10万公里
大众,途观L,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/fae84b4c399e4a4294a7eca0fec5be6c~tplv-resize:640:0.png,18397,"[14.99, 24.64]",上汽大众,30,中型SUV,汽油,2024.05,3年或10万公里
比亚迪,海豚,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/4f90467b59e54ad7a74c035d516e7772~tplv-resize:640:0.png,18231,"[9.98, 12.98]",比亚迪,31,小型车,纯电动,2024.07,6年或15万公里
丰田,卡罗拉锐放,https://p3-dcd.byteimg.com/img/motor-mis-img/58d617d55bda2d2a8aeb9b9d0e8ca823~tplv-resize:640:0.png,17766,"[9.28, 14.78]",一汽丰田,32,紧凑型SUV,汽油,2024.06,3年或10万公里
长安,长安Lumin,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ce6c0eedd9c6421c94ef984285239d44~tplv-resize:640:0.png,17040,"[3.39, 6.19]",长安汽车,33,微型车,纯电动,2024.09,3年或12万公里
比亚迪,宋PLUS EV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/99ab2b7854cc4a7ebd590ca4934b9e80~tplv-resize:640:0.png,16828,"[14.98, 18.98]",比亚迪,34,紧凑型SUV,纯电动,2024.08,6年或15万公里
AITO,问界M9,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/c6eb4687b1d1477c86826edc4d417e6c~tplv-resize:640:0.png,16595,"[46.98, 56.98]",赛力斯汽车,35,大型SUV,增程式,2024.09,4年或10万公里
长安,逸动,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/539de6103bab4d678713a55c06cb9dce~tplv-resize:640:0.png,15846,"[6.99, 7.99]",长安汽车,36,紧凑型车,汽油,2024.03,3年或10万公里
吉利银河,银河E5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/7dfb9003d5cd4fac8050640893630cc1~tplv-resize:640:0.png,15712,"[10.98, 14.58]",吉利银河,37,紧凑型SUV,纯电动,2024.08,6年或15万公里
吉利汽车,熊猫,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/4ca80c7564204d0c9857e396ea3b014d~tplv-resize:640:0.png,15616,"[2.99, 5.19]",吉利汽车,38,微型车,纯电动,2024.11,3年或12万公里
AITO,问界M7,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/887713ee6ba84da6b8962888260c914f~tplv-resize:640:0.png,15132,"[24.98, 32.98]",赛力斯汽车,39,中大型SUV,增程式,2024.08,4年或10万公里
吉利汽车,星愿,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/e8e75fa565924a5e8a3a7951b1ad299d~tplv-resize:640:0.png,15130,"[6.98, 9.88]",吉利汽车,40,小型车,纯电动,2024.10,6年或15万公里
红旗,红旗H5,https://p3-dcd.byteimg.com/img/motor-mis-img/4e5a38bacf99a7c63567e63f3bde1216~tplv-resize:640:0.png,14845,"[11.98, 18.58]",一汽红旗,41,中型车,汽油,2024.09,4年或10万公里
丰田,威兰达,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/061f73faac15418fa6d7153922aa4efc~tplv-resize:640:0.png,14595,"[13.38, 22.48]",广汽丰田,42,紧凑型SUV,汽油,2024.05,3年或10万公里
奔驰,奔驰E级,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c02aa97643944bed96a20db674f0fcb6~tplv-resize:640:0.png,14500,"[34.72, 54.98]",北京奔驰,43,中大型车,48V轻混系统,2023.12,3年不限公里
哈弗,哈弗大狗,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/99d2cc4666d54e5487bbda4ac6efe2f2~tplv-resize:640:0.png,14378,"[9.89, 12.49]",长城汽车,44,紧凑型SUV,汽油,2023.07,3年或10万公里
吉利汽车,星瑞,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/4fc66389c5644e648c5093b476ccd036~tplv-resize:640:0.png,14035,"[9.27, 13.57]",吉利汽车,45,紧凑型车,汽油,2024.10,4年或10万公里
大众,途岳,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c33c6674860948149e5d808e05ae222d~tplv-resize:640:0.png,13915,"[7.99, 16.79]",上汽大众,46,紧凑型SUV,汽油,2024.08,3年或10万公里
奥迪,奥迪Q5L,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/67161a339e5c4639bdcfc59d4b67efc9~tplv-resize:640:0.png,13807,"[25.52, 31.28]",一汽奥迪,47,中型SUV,汽油,2023.10,3年或10万公里
奥迪,奥迪A6L,https://p3-dcd.byteimg.com/img/motor-mis-img/f8250b5672059b6380b04eeeb0d7fe33~tplv-resize:640:0.png,13731,"[29.53, 45.32]",一汽奥迪,48,中大型车,汽油,2023.10,3年或10万公里
埃安,AION Y,https://p3-dcd.byteimg.com/img/motor-mis-img/a4dcf08d322941eb5259fbcb35ead82e~tplv-resize:640:0.png,13587,"[9.48, 14.08]",广汽埃安新能源,49,紧凑型SUV,纯电动,2024.03,4年或15万公里
本田,雅阁,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/01ea2955a1cb44ff8f048e3deabf2c17~tplv-resize:640:0.png,13452,"[13.98, 19.88]",广汽本田,50,中型车,汽油,2024.09,3年或10万公里
吉利汽车,博越L,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/2feaeea512f442a18ea5a8194a26c29d~tplv-resize:640:0.png,13447,"[10.37, 14.27]",吉利汽车,51,紧凑型SUV,汽油,2024.05,4年或10万公里
比亚迪,唐DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/831c3d1f82c74acf801e233b5627d2c7~tplv-resize:640:0.png,13344,"[17.98, 26.98]",比亚迪,52,中型SUV,插电式混合动力,2024.10,6年或15万公里
奇瑞,艾瑞泽8,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d8d9de3901d34378b2fd87287e07b7fa~tplv-resize:640:0.png,13307,"[8.69, 13.39]",奇瑞汽车,53,紧凑型车,汽油,2024.03,3年或10万公里
本田,皓影,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9886d3b902964d73a5284eeee4f1cfa8~tplv-resize:640:0.png,12982,"[14.59, 22.39]",广汽本田,54,紧凑型SUV,汽油,2024.10,3年或10万公里
奔腾,奔腾小马,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/2c3f3931dac84fc0800e756d85892b7f~tplv-resize:640:0.png,12633,"[1.99, 3.49]",一汽奔腾,55,微型车,纯电动,2024.08,3年或10万公里
比亚迪,秦PLUS EV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f2c7ac4f763b45f99d6492adc2ee9f39~tplv-resize:640:0.png,12377,"[10.48, 15.98]",比亚迪,56,紧凑型车,纯电动,2024.02,6年或15万公里
理想汽车,理想L7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/eb87a765755d45a3920455aabdadadcb~tplv-resize:640:0.png,11841,"[30.18, 35.98]",理想汽车,57,中大型SUV,增程式,2024.03,5年或10万公里
深蓝汽车,深蓝S07,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e3a99ed421fb474eb8e921c3253ab494~tplv-resize:640:0.png,11685,"[13.99, 19.79]",深蓝汽车,58,中型SUV,增程式,2024.07,3年或12万公里
极氪,ZEEKR 7X,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/43587659f5b647bab7efa6acc32aea01~tplv-resize:640:0.png,11643,"[22.99, 26.99]",极氪,59,中型SUV,纯电动,2024.09,4年或10万公里
宝马,宝马3系,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/db5d054a3ad040ab9e3f452ffe690b48~tplv-resize:640:0.png,11349,"[22.97, 30.03]",华晨宝马,60,中型车,汽油,2024.09,3年或10万公里
丰田,亚洲龙,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b47ec0be1ba940aa8e02b93784b6949e~tplv-resize:640:0.png,11064,"[14.38, 24.48]",一汽丰田,61,中型车,汽油,2024.07,3年或10万公里
捷途,捷途X70,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9f9edd2f1b8f4ff68538900708783c01~tplv-resize:640:0.png,10848,"[7.79, 13.99]",奇瑞汽车,62,中型SUV,汽油,2024.04,4年或10万公里
奔驰,奔驰C级,https://p3-dcd.byteimg.com/img/motor-mis-img/fd1771f592228d51d414ac0e5fa2469c~tplv-resize:640:0.png,10800,"[23, 28]",北京奔驰,63,中型车,48V轻混系统,2024.09,3年不限公里
哈弗,哈弗H6,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/62328473441241d98a6a623ffe67178f~tplv-resize:640:0.png,10360,"[8.09, 12.99]",长城汽车,64,紧凑型SUV,汽油,2024.06,3年或10万公里
零跑汽车,零跑C11,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/2c5aa014fea141568f6df9bf6a486db0~tplv-resize:640:0.png,10286,"[14.88, 20.58]",零跑汽车,65,中型SUV,增程式,2024.03,4年或12万公里
小鹏汽车,小鹏MONA M03,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c09268085ead46d5bf15eb93c3d00ee3~tplv-resize:640:0.png,10203,"[11.98, 15.58]",小鹏汽车,66,紧凑型车,纯电动,2024.08,5年或12万公里
吉利汽车,帝豪,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/5c786d6818bf460fabdb81c0cdf5f760~tplv-resize:640:0.png,10127,"[5.09, 10.58]",吉利汽车,67,紧凑型车,汽油,2024.07,4年或15万公里
宝马,宝马X3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/6ef160326cdc43d6b8395d9b0ae6a31c~tplv-resize:640:0.png,10107,"[29.83, 36.03]",华晨宝马,68,中型SUV,汽油,2023.02,3年或10万公里
大众,大众ID.3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/42a481517c384446ae0fe27e3f2c1248~tplv-resize:640:0.png,9998,"[11.39, 13.69]",上汽大众,69,紧凑型车,纯电动,2024.07,3年或10万公里
吉利汽车,缤越,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f4da599a90704dfabdcd45194b4dea30~tplv-resize:640:0.png,9446,"[6.08, 8.98]",吉利汽车,70,小型SUV,汽油,2024.07,4年或10万公里
宝马,宝马5系,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e85fab8db1b346578e344ab528cbeaa2~tplv-resize:640:0.png,9387,"[34.25, 41.05]",华晨宝马,71,中大型车,48V轻混系统,2024.01,3年或10万公里
长安,长安UNI-Z PHEV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b9b0c69241984c2a9a06d1245041668f~tplv-resize:640:0.png,9244,"[11.79, 13.19]",长安汽车,72,紧凑型SUV,插电式混合动力,2024.03,3年或10万公里
捷途,捷途旅行者,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a4c5373170314e3e93ccc6dae5b7963d~tplv-resize:640:0.png,9222,"[13.99, 23.99]",奇瑞汽车,73,紧凑型SUV,汽油,2024.01,4年或10万公里
埃安,AION S,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/eb774d9fa2a143efbfa6dfd38fbea82f~tplv-resize:640:0.png,9128,"[11.88, 16.49]",广汽埃安新能源,74,紧凑型车,纯电动,2024.07,4年或15万公里
哈弗,哈弗猛龙,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a9dc9e5ea72d414cb832108cf2404eef~tplv-resize:640:0.png,9064,"[15.78, 18.88]",长城汽车,75,紧凑型SUV,插电式混合动力,2024.04,6年或15万公里
比亚迪,汉EV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/493e0427e3c64f15b5bc539dd54ff0a7~tplv-resize:640:0.png,8853,"[17.38, 24.38]",比亚迪,76,中大型车,纯电动,2024.09,6年或15万公里
奔驰,奔驰GLC,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e8b4e398af9d4c8ea7656766509bc7d2~tplv-resize:640:0.png,8710,"[36.78, 50.83]",北京奔驰,77,中型SUV,48V轻混系统,2024.11,3年不限公里
领克,领克08 EM-P,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/17614683c5d74474b25696e6ba9f1619~tplv-resize:640:0.png,8571,"[17.88, 27.1]",领克,78,中型SUV,插电式混合动力,2024.08,5年或10万公里
奇瑞,风云T9,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/987f70ca6b3c413da98a13edc41e2ae4~tplv-resize:640:0.png,8551,"[12.99, 16.99]",奇瑞汽车,79,中型SUV,插电式混合动力,2024.05,不限年限/里程(责任免除条款以官方为准)
丰田,赛那,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/0c4126f4e19f4486ab824f4c0abb7a95~tplv-resize:640:0.png,8374,"[26.98, 38.78]",广汽丰田,80,中大型MPV,油电混合,2024.04,3年或10万公里
丰田,格瑞维亚,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/dc353aa6c1ef46eda1ea28f39304c725~tplv-resize:640:0.png,8373,"[26.98, 38.68]",一汽丰田,81,中大型MPV,油电混合,2024.04,3年或10万公里
日产,逍客,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/594bf71978304cbeaeee6abbdf29d5ea~tplv-resize:640:0.png,8217,"[9.89, 16.49]",东风日产,82,紧凑型SUV,汽油,2024.10,3年或10万公里
五菱汽车,五菱宏光,https://p3-dcd.byteimg.com/img/motor-mis-img/5e5eb3f0b2e232525d8d7f1d44fa55fb~tplv-resize:640:0.png,8162,"[4.65, 5.99]",上汽通用五菱,83,微面,汽油,2022.07,3年或10万公里
奥迪,奥迪A4L,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/da440185e7f349d6b0d58938facb129d~tplv-resize:640:0.png,8061,"[20.27, 25.25]",一汽奥迪,84,中型车,汽油,2023.10,3年或10万公里
丰田,汉兰达,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/fe6bc328cfa64a6eb81d94f888a6e001~tplv-resize:640:0.png,8043,"[21.98, 31.68]",广汽丰田,85,中型SUV,油电混合,2024.05,3年或10万公里
零跑汽车,零跑T03,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/464986d3ad5845e9aac85a6960479de0~tplv-resize:640:0.png,7929,"[4.99, 6.99]",零跑汽车,86,微型车,纯电动,2024.03,3年或12万公里
零跑汽车,零跑C10,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d13ed8572aea4511add91d86acb100f5~tplv-resize:640:0.png,7913,"[12.88, 16.88]",零跑汽车,87,中型SUV,增程式,2024.03,4年或12万公里
别克,昂科威,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/f10147fd60e9445da78a7593c455a4be~tplv-resize:640:0.png,7871,"[15.19, 23.79]",上汽通用别克,88,中型SUV,48V轻混系统,2024.03,3年或10万公里
本田,思域,https://p3-dcd.byteimg.com/img/motor-mis-img/af835d978de92b8342d900c8473c8d88~tplv-resize:640:0.png,7836,"[8.49, 14.29]",东风本田,89,紧凑型车,汽油,2022.12,3年或10万公里
日产,天籁,https://p3-dcd.byteimg.com/img/motor-mis-img/8e074b2ea146302687d68d1e51adfb3c~tplv-resize:640:0.png,7709,"[12.78, 19.98]",东风日产,90,中型车,汽油,2024.09,3年或10万公里
零跑汽车,零跑C16,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a2008aca31f649d7b646f0aecfbdbd5c~tplv-resize:640:0.png,7670,"[15.58, 18.58]",零跑汽车,91,中大型SUV,增程式,2024.06,4年或12万公里
吉利银河,银河L7,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/f10ed13fe0594fda9a42cee9eebd18c1~tplv-resize:640:0.png,7436,"[11.37, 16.57]",吉利银河,92,紧凑型SUV,插电式混合动力,2024.03,4年或10万公里
红旗,红旗HS5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ab8b7403cc8b4fb9a988e66dc53d5163~tplv-resize:640:0.png,7421,"[13.88, 24.98]",一汽红旗,93,中型SUV,汽油,2024.11,4年或10万公里
智界,智界S7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/0e17f8fdf5994a98aab29bf74279e0bf~tplv-resize:640:0.png,7397,"[24.98, 34.98]",奇瑞汽车,94,中大型车,纯电动,2024.04,4年或10万公里
丰田,卡罗拉,https://p3-dcd.byteimg.com/img/motor-mis-img/b2fb8f96191b30a2992fc05fb5af0a4c~tplv-resize:640:0.png,7397,"[8.98, 12.88]",一汽丰田,95,紧凑型车,汽油,2024.07,3年或10万公里
岚图,岚图梦想家 PHEV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/67526d57f98549c88591be3259c3a3bd~tplv-resize:640:0.png,7393,"[32.99, 63.99]",岚图汽车,96,中大型MPV,插电式混合动力,2024.09,5年或10万公里
宝马,宝马X1,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c9c9c02010874036a2f03c203ca1238a~tplv-resize:640:0.png,7056,"[17.9, 28.68]",华晨宝马,101,紧凑型SUV,汽油,2024.08,3年或10万公里
腾势,腾势D9 DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/0fa1a154670f4bb9b330d0b931fa4024~tplv-resize:640:0.png,7006,"[33.18, 59.26]",腾势汽车,102,中大型MPV,插电式混合动力,2024.03,6年或15万公里
北京,北京BJ30,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/448e361c30114bf38bc4f1c09495a63f~tplv-resize:640:0.png,6697,"[9.99, 13.69]",北京汽车,103,紧凑型SUV,汽油,2024.05,5年或15万公里
丰田,雷凌,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/1b796b228c2e4582beacd3928e0d5ae0~tplv-resize:640:0.png,6635,"[7.88, 11.88]",广汽丰田,104,紧凑型车,汽油,2024.03,3年或10万公里
宝马,宝马X5,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/bf84f7f297c74b4ab69467bef101e7e1~tplv-resize:640:0.png,6555,"[55.28, 74.27]",华晨宝马,105,中大型SUV,48V轻混系统,2024.10,3年或10万公里
理想汽车,理想L9,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/4f056cfb109c43308e929851d8764605~tplv-resize:640:0.png,6493,"[40.98, 43.98]",理想汽车,106,大型SUV,增程式,2024.03,5年或10万公里
奇瑞,瑞虎7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d6cd595add6f43c8b9d32b73c8de074b~tplv-resize:640:0.png,6487,"[6.99, 13.09]",奇瑞汽车,107,紧凑型SUV,汽油,2024.11,3年或10万公里
理想汽车,理想L8,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/df46af6b3ad1439f83d4448cfb729918~tplv-resize:640:0.png,6471,"[32.18, 37.98]",理想汽车,108,中大型SUV,增程式,2024.03,5年或10万公里
蔚来,蔚来ES6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/64a3a0a4ae604ebab934377a157a9851~tplv-resize:640:0.png,6471,"[33.8, 39.6]",蔚来,109,中型SUV,纯电动,2024.02,3年或12万公里
捷达,捷达VS5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5c03f20ae4d540638d295c0636a0d4c5~tplv-resize:640:0.png,6448,"[8.79, 12.19]",一汽-大众捷达,110,紧凑型SUV,汽油,2024.04,3年或10万公里
比亚迪,海狮07 EV,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/b69406d5ac524645bf19f945f9887226~tplv-resize:640:0.png,6416,"[18.98, 23.98]",比亚迪,111,中型SUV,纯电动,2024.05,6年或15万公里
本田,型格,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/bc48ceffe1394c528b45bb3a5042f890~tplv-resize:640:0.png,6366,"[9.59, 15.29]",广汽本田,112,紧凑型车,汽油,2024.03,3年或10万公里
广汽传祺,传祺E8 PHEV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/06201cc9699d4ec3b6a25649eb5ce90d~tplv-resize:640:0.png,6219,"[20.98, 23.88]",广汽传祺,113,中型MPV,插电式混合动力,2023.11,3年或10万公里
比亚迪,海豹07 DM,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/187722eca6954a2c8ad049713c64df80~tplv-resize:640:0.png,6139,"[13.98, 19.58]",比亚迪,114,中型车,插电式混合动力,2024.08,6年或15万公里
大众,凌渡,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/72aad906601447f59df191ebb8522c58~tplv-resize:640:0.png,6081,"[10.39, 15.59]",上汽大众,115,紧凑型车,汽油,2024.10,3年或10万公里
